"Fat11" "Meat11" "Fat12" "Meat12" "Fat13" "Meat13" "LeanMeat"
18 61 16 58 16 58 57.72
16 50 12 49 11 52 60.418978912
16 52 13 46 11 55 59.016273986
22 61 18 65 18 71 56.08
13 48 11 50 11 52 61.892205158
13 48 10 48 10 52 62.268907563
19 51 16 53 15 56 57.472979928
18 51 18 48 16 53 56.92
15 53 16 55 16 61 58.384869409
27 52 22 59 19 55 50.642857143
15 45 12 46 12 51 62.664004564
23 39 16 43 15 50 57.082653616
18 56 16 57 15 59 58.46
16 50 13 50 12 55 60.826645265
23 39 17 38 16 41 49.105217138
21 45 16 48 15 48 51.739255014
22 50 17 49 18 53 54.847520552
14 46 12 49 10 52 57.443587546
15 63 12 58 12 62 62.69
15 55 12 52 12 57 60.865663764
18 45 15 47 13 51 56.754246285
15 49 11 44 10 47 60.429184549
24 52 22 53 20 58 55.878080415
16 49 13 52 13 57 59.319071224
17 59 16 56 13 61 59.458375125
20 54 17 58 13 60 53.3023496
18 50 15 48 15 48 55.170030412
19 46 17 45 16 47 55.091933571
19 51 14 48 15 53 61.53
16 64 15 70 12 74 59.341176471
22 61 17 62 16 66 51.570247934
12 44 11 44 11 45 63.601938806
17 47 12 39 11 48 60.65855181
17 61 13 60 15 61 60.73
16 49 13 51 13 50 57.22007722
13 51 11 56 9 57 63.627147282
12 53 10 56 9 60 65.300404391
21 56 14 58 15 60 56.259768257
22 54 18 52 16 57 52.269465852
18 60 15 63 16 62 61.386995281
14 53 10 52 11 55 59.598065881
13 49 8 55 8 55 64.274383079
23 60 19 61 15 64 55.73
18 50 13 49 14 52 58.263604047
22 60 18 64 14 64 57.646112601
15 55 12 54 10 58 64.766327142
17 54 14 52 13 58 60.852528462
12 46 11 43 9 48 62.239099859
14 54 12 53 15 58 60.812428734
20 60 18 62 19 65 57.43
17 42 14 37 13 44 57.93817527
14 50 13 53 11 55 60.895133256
18 59 16 54 14 59 57.849829352
17 50 14 52 14 55 58.601205424
15 57 14 58 14 57 61.892050455
16 54 16 57 14 62 61.184706516
19 46 16 42 17 49 57.42002064
15 66 15 63 13 66 61.43
16 59 13 61 13 63 61.17
18 51 18 50 17 53 57.29
20 37 16 37 13 42 51.763277693
20 58 16 61 16 59 58.13
16 46 12 45 14 51 60.328009127
14 54 12 56 11 62 59.395336226
16 50 11 53 9 58 58.193325662
16 56 15 54 11 63 57.647058824
18 54 13 59 13 60 61.05496223
12 61 9 60 9 68 65.709770115
18 52 16 53 12 61 60.950369588
13 52 12 58 11 65 60.125463359
13 49 13 50 11 55 61.852257182
17 61 17 59 15 57 56.951126868
13 57 10 53 10 54 63.108781127
13 40 12 33 12 42 57.104755784
13 57 13 54 12 59 63.359354671
14 52 12 51 12 60 60.792880259
15 55 12 61 12 62 64.3866171
20 52 17 51 15 55 57.366431452
16 54 11 60 10 59 61.312480834
16 49 11 50 13 51 57.873042045
13 55 14 57 11 59 63.250380904
11 52 10 57 10 64 64.491451753
16 52 15 48 13 52 60.611883692
20 49 15 48 13 48 56.608942065
18 54 16 58 14 58 58.295331162
20 55 18 57 15 60 57.048731974
11 49 11 44 11 54 60.547945205
15 51 13 48 14 53 60.275201914
14 53 12 52 11 61 64.275215408
12 48 12 51 11 60 65.051600953
21 49 15 55 14 53 56.563526835
14 53 11 51 11 56 62.114695341
11 55 11 53 10 62 64.072847682
19 53 19 56 16 57 55.832742736
12 51 12 55 10 57 65.217921365
13 60 13 63 9 67 64.77482679
15 53 14 51 13 55 59.972375691
19 49 14 48 16 52 57.072171447
12 58 11 57 10 67 67.314969393
20 56 18 57 16 66 56.5488513
11 51 11 50 8 55 63.270735524
16 45 12 42 11 50 60.454545455
11 59 10 57 10 61 62.46655032
17 53 15 53 13 57 56.600698487
15 56 14 51 12 62 60.934199838
14 52 13 53 11 59 64.013248689
15 47 10 48 12 52 59.466927156
16 51 14 53 12 58 60.63735692
20 48 18 42 15 52 58.192803437
13 53 14 58 10 58 64.402985075
19 54 13 54 14 64 59.603512507
19 45 19 42 15 49 58.566792861
15 53 12 53 12 54 64.160779537
11 49 12 41 9 50 63.720930233
16 39 15 39 11 40 54.858015267
13 43 12 38 10 44 60.909657321
13 61 11 64 10 67 65.017950842
18 39 16 36 13 44 55.328274497
11 57 14 57 10 64 60.466585662
19 55 18 55 13 61 55.053380783
18 60 15 59 13 63 57.990514229
12 52 10 48 11 52 62.894736842
12 52 14 50 12 56 62.67444811
17 49 12 49 10 47 61.067064083
21 46 16 49 14 51 54.194185718
23 49 19 49 17 52 58.947070478
20 55 18 56 16 58 53.65550482
13 57 13 58 11 61 62.957933972
20 50 18 40 14 48 56.562863795
18 41 13 38 13 41 55.654685494
11 45 10 42 9 53 63.628020801
11 51 8 54 7 59 64.067510549
22 54 21 46 16 53 55.804195804
